Customer_ID,Name,Age,Operator_Experience,Multi-Policy,Years_Insured,Income_Band
ZBSHFLYC,Michael Lopez,60,Yes,No,1,Medium
LMMRNXKX,David Garcia,54,No,No,7,Low
WDYBVCXU,Sarah Lopez,46,Yes,No,0,High
VRXWJVOV,James Johnson,67,Yes,Yes,10,Medium
YETKWWIO,David Williams,62,Yes,No,3,High
IXMWPPMN,Daniel Davis,70,Yes,No,0,Low
CSWAXQJA,Sophia Miller,60,Yes,Yes,1,Low
QQQBCANP,Sarah Miller,65,Yes,Yes,0,Low
LUGHJWTK,Daniel Smith,62,Yes,No,3,High
IHCZVGBF,Michael Davis,62,Yes,No,2,High
YREIEORR,Daniel Miller,57,Yes,No,3,High
NPHSTTBA,Michael Lopez,67,Yes,No,6,High
SCTVHJNW,Laura Jones,54,Yes,No,3,Medium
UMFYSXKM,Sarah Lopez,58,Yes,No,5,Medium
CSYHYQCB,Daniel Jones,57,Yes,No,10,Medium
UOWMYXCG,Sarah Williams,65,Yes,No,6,High
GRLTICZQ,Laura Lopez,70,Yes,Yes,1,Low
XYLNXOKQ,David Williams,50,Yes,Yes,3,Medium
JBURMMKY,Emma Johnson,67,Yes,Yes,0,High
XOVAHNAN,John Jones,43,Yes,Yes,10,High
HTVYMGTS,Sarah Brown,54,Yes,No,2,Medium
EELJXHIN,John Wilson,50,Yes,Yes,4,High
KUYATOVP,James Jones,42,No,Yes,5,Medium
ICREYHTU,Emma Smith,54,No,Yes,0,Medium
KHKTWAEH,Michael Garcia,50,Yes,No,0,High
STSTDONP,Sophia Smith,37,No,No,0,High
DYYBKZSQ,Laura Miller,46,Yes,No,10,High
LKKSRBXL,Emily Davis,30,Yes,No,5,Medium
RIHABNDK,Daniel Johnson,52,Yes,No,4,Medium
IOBESHYY,Sarah Brown,59,Yes,No,5,High
XMQDRPQG,Sarah Brown,53,No,No,2,Low
UBNDLMZT,Daniel Davis,52,No,No,2,Medium
JAOCBKCX,Sarah Wilson,59,Yes,No,5,High
IJTYKLYH,Emily Wilson,39,Yes,Yes,4,Low
HPZPXRQK,David Jones,44,Yes,No,3,Medium
EHHYFMIF,Daniel Johnson,52,Yes,No,0,High
AKLSTPCD,David Garcia,48,Yes,No,3,Low
CGFYZLGF,David Williams,58,Yes,Yes,1,Low
PLIZQWGX,Michael Garcia,57,Yes,No,3,Low
KRJPLSVB,Sarah Lopez,40,Yes,No,1,High
DTTXYXAP,John Jones,36,Yes,No,0,Medium
DMRECMIS,Emma Lopez,67,Yes,No,2,Medium
BRDWEGWT,Emma Smith,53,Yes,No,1,Low
RBBLWWHJ,Emma Williams,33,Yes,No,4,High
MBYNVYUM,Daniel Williams,61,No,Yes,4,Low
CESTMYMR,Sarah Lopez,34,Yes,Yes,2,High
LXSAYIZS,John Miller,31,Yes,Yes,0,Medium
YPTYGHXI,James Lopez,58,Yes,No,2,High
TGOSVFLM,John Brown,70,No,Yes,2,Medium
AAKBZJQN,Laura Smith,69,Yes,No,2,High
PTZTZBOC,Daniel Johnson,38,Yes,No,0,High
JRTAARNG,David Jones,64,Yes,No,2,High
SCBLAQZV,Michael Johnson,45,Yes,Yes,0,High
QZGSHBQL,Emma Davis,33,Yes,No,2,High
JKZROCDQ,John Davis,51,Yes,No,8,Medium
PGXSVWDS,Emily Williams,67,Yes,Yes,4,Medium
FGZIUHKP,Emma Brown,69,Yes,No,2,Low
ALVUHKNC,Laura Garcia,67,Yes,No,1,Low
ZZCUYXES,Sophia Williams,50,Yes,No,2,Low
YKJJLTCZ,Emily Wilson,47,Yes,Yes,1,Low
RXVRIOFH,Daniel Wilson,55,Yes,Yes,3,Low
IJDLDTKI,Emily Wilson,52,Yes,No,5,High
WYBJLCAK,Laura Williams,50,Yes,No,4,Medium
UHWTFCBJ,Michael Johnson,56,Yes,No,5,Medium
AENJNBFA,Sarah Smith,68,Yes,No,5,Medium
XGHNQKBT,Sarah Miller,51,Yes,No,6,Low
WKUKODCS,Sophia Wilson,56,Yes,No,0,Medium
YRLZJJQU,James Smith,58,Yes,No,3,Low
ADOPJWNG,Sophia Brown,69,Yes,No,1,Medium
FRKDIPIC,David Davis,57,Yes,No,1,High
ZSJKIBXC,John Miller,67,Yes,No,2,Medium
CXFHPWZF,Sophia Johnson,38,No,No,4,Medium
KJZNKLBS,John Miller,51,No,No,1,Medium
JTHDYEPG,Sophia Williams,68,Yes,No,0,Medium
OUTEQKZU,John Miller,42,No,No,3,Low
CVYQNHPO,Daniel Wilson,52,Yes,Yes,7,Low
QKZTQMFV,Sophia Miller,57,Yes,Yes,0,Medium
VIRYTXPZ,John Smith,43,No,No,1,Low
SYKHZJZC,John Smith,50,Yes,No,3,High
NXXVNNPR,David Jones,51,Yes,Yes,2,Low
YVTJDYGY,Sarah Miller,44,Yes,No,10,High
YSCLGGKY,Emily Lopez,61,No,No,7,High
CAGDEZDV,David Williams,52,Yes,No,3,High
NWNGYRMP,Laura Wilson,70,Yes,No,0,Medium
SNOXMGSU,Daniel Johnson,61,Yes,Yes,5,Medium
KMQEXMSK,Daniel Johnson,61,Yes,No,6,High
QTWZGOVN,Emma Wilson,50,No,No,2,High
NIGPZCNL,Emily Wilson,32,Yes,No,8,Medium
OHAEDYIC,Sarah Davis,60,No,No,2,High
CSFCWCBP,Emma Brown,52,No,No,3,High
GYBBZTTQ,David Wilson,31,Yes,No,1,Low
PLGRVWKJ,David Williams,69,Yes,No,0,Low
DFACHBMD,Emily Brown,63,No,No,1,High
FKYQKWWQ,Sophia Wilson,62,Yes,No,0,Medium
ZOVEKVNG,Laura Davis,51,No,No,3,Medium
EPXBEOPK,Michael Jones,36,Yes,Yes,2,High
JLQCHGKO,Laura Miller,66,Yes,Yes,1,Medium
BGQMRJJP,Michael Johnson,66,Yes,No,10,Low
WJAMXWAL,Daniel Miller,56,Yes,No,0,High
ZZQUENLC,Laura Johnson,46,Yes,Yes,6,Low
NUENIJII,Michael Jones,70,No,No,8,High
PWVKBQBC,Michael Williams,37,Yes,Yes,3,Medium
FHTPRHTS,Emma Smith,39,Yes,No,3,Medium
NENBWLGV,Sophia Miller,65,No,Yes,1,High
BQVEOHDA,Sophia Brown,68,Yes,No,2,High
CRUCCKMV,Emma Lopez,53,Yes,No,3,Low
MSJYSXFF,Emily Wilson,64,Yes,No,0,High
BIWEWNGT,Laura Jones,65,Yes,Yes,7,Medium
JNVDRSXD,James Davis,59,Yes,Yes,2,High
GAOVPOPN,James Wilson,62,Yes,No,3,Low
UPYBRPCA,Emily Johnson,63,Yes,No,5,Low
YHOIDUVT,Sarah Miller,55,Yes,Yes,1,Medium
GHWFLCWV,David Davis,39,Yes,No,8,Low
KKPZORXD,David Lopez,37,Yes,No,2,Low
SGMPPQXV,Sophia Lopez,46,Yes,No,9,Medium
OOTEGZEJ,John Wilson,60,Yes,No,3,Low
FYDZVQDQ,John Wilson,54,Yes,No,7,Medium
LTFSDAIR,Sophia Smith,47,Yes,Yes,3,High
RXOAKPNC,Daniel Lopez,69,Yes,No,0,High
LOBULZNZ,James Williams,30,Yes,No,2,Low
WOHWBLAI,Daniel Johnson,59,Yes,Yes,2,Medium
ERYSIGOV,Emma Lopez,69,Yes,No,3,High
IQQVYFER,Sarah Smith,57,Yes,No,1,High
PKLJGEKM,Laura Lopez,66,Yes,No,0,High
YHXLABAS,Michael Williams,50,Yes,No,3,High
PGTCNZJM,Emma Lopez,59,Yes,No,2,Low
YAKFWMIP,Laura Davis,66,Yes,No,3,Low
FARNKABK,Laura Miller,51,Yes,No,5,High
GTBFJYCH,James Smith,62,Yes,No,4,Low
GPNDSHIR,James Smith,42,Yes,Yes,7,Low
TCLDNCZX,Sarah Brown,53,Yes,No,2,Medium
QLVDMVMY,Emma Smith,54,Yes,No,0,Low
WVCQHEYW,David Davis,57,Yes,No,5,Medium
VLSERGWY,Michael Garcia,61,Yes,No,1,High
VKHSPKRX,John Wilson,38,Yes,Yes,0,High
HXBRLYWM,James Johnson,34,Yes,Yes,4,Low
UDQARWEC,Emma Jones,58,Yes,No,3,Low
ARNYOUDB,Emily Jones,63,No,Yes,1,High
ZNXPHSHQ,John Davis,51,Yes,Yes,1,Low
IPVCWTOU,David Smith,66,Yes,No,6,Medium
EUQEXQUP,Daniel Garcia,69,Yes,No,2,Low
QMSENOIX,Laura Davis,46,Yes,No,2,High
TVCMUCCR,Sophia Miller,49,Yes,No,5,Low
IQTVZUZS,Emma Brown,64,Yes,No,10,High
OQNCVTDW,Emma Garcia,65,Yes,Yes,2,Low
VNBTFWAG,Laura Wilson,48,No,No,3,Low
QTXUVPNU,Michael Garcia,60,Yes,Yes,9,Medium
XRWVPKXR,Emily Garcia,55,Yes,Yes,0,Low
SYEIIGEP,David Miller,36,No,No,2,Low
LKRACTAF,Emma Brown,32,Yes,No,3,High
RIANSESU,Emma Jones,52,Yes,Yes,3,Low
LUVBFUZD,James Williams,40,Yes,Yes,1,High
HBJBNMJX,Emma Brown,69,Yes,No,6,Low
YTKOPVWN,James Jones,51,Yes,No,0,Low
POPSGXOO,Emma Lopez,40,No,No,3,Medium
ITEDHAGV,David Brown,64,No,No,0,Medium
XBRNHDJZ,Emily Miller,49,Yes,No,3,Medium
WESETNYI,Daniel Lopez,54,Yes,No,7,Medium
WSWAHGXK,John Johnson,60,Yes,Yes,1,High
BVGXZKCJ,John Smith,60,Yes,No,2,Medium
EEWRINNS,James Lopez,43,No,No,0,Medium
LRNFKJHF,David Smith,44,Yes,No,0,Medium
GPQFJQOQ,Daniel Garcia,58,Yes,No,1,Low
